CREATE VIEW
Q5 - fornecedores com maior total pago (57a Legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 10
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_10 
-----------+--------------+-------------+--------------+------------
      2023 |        21868 |      213240 | 245280034.40 |      26.57
      2024 |        22288 |      220401 | 263302700.07 |      23.76
      2025 |        21953 |      200157 | 249254389.30 |      18.63
      2026 |        12813 |       51963 |  70012026.95 |       6.25
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                         fornecedor                          | cnpj_cpf | qtd_lancamentos | total_pago  | pct_total 
 GLOBAL    |      34 | AMORETTO CAFES EXPRESSO LTDA                                                                                                                   |          |            1706 |  1245903.01 |      0.15
 GLOBAL    |      35 | Telefônica Brasil S.A. VIVO                                                                                                                    |          |            2681 |  1241588.47 |      0.15
 GLOBAL    |      36 | Facebook Serviços Online do Brasil ltda                                                                                                        |          |             394 |  1216156.03 |      0.15
 GLOBAL    |      37 | A DE LIMA CARDOSO                                                                                                                              |          |              68 |  1199803.07 |      0.14
 GLOBAL    |      38 | Latam Linhas Aéreas S.A                                                                                                                        |          |             491 |  1178779.91 |      0.14
 GLOBAL    |      39 | ON - Z IMPRESSAO, DIVULGACAO & MARKETING DIGITAL LTDA                                                                                          |          |              47 |  1098874.40 |      0.13
 GLOBAL    |      40 | UBER DO BRASIL TECNOLOGIA LTDA.                                                                                                                |          |           34329 |  1066446.17 |      0.13
 GLOBAL    |      41 | LOCALIZA RENT A CAR S/A                                                                                                                        |          |             440 |  1046473.57 |      0.13
 GLOBAL    |      42 | NSF TRANSPORTES ME LTDA.                                                                                                                       |          |             182 |  1032002.42 |      0.12
 GLOBAL    |      43 | CONSUPORTE TRANSPORTES E SERVIÇOS LTDA - EPP                                                                                                   |          |              84 |  1020208.68 |      0.12
 GLOBAL    |      44 | GMB DE CASTRO REIS - ME                                                                                                                        |          |              57 |  1018571.50 |      0.12
 GLOBAL    |      45 | Nacional Rent a Car Locação de Veiculos LTDA                                                                                                   |          |             192 |  1011706.90 |      0.12
 GLOBAL    |      46 | FOGO COMUNICACAO LTDA                                                                                                                          |          |              67 |   998834.30 |      0.12
 GLOBAL    |      47 | QUASAR LOCADORA DE VEICULOS EIRELI                                                                                                             |          |             228 |   998582.46 |      0.12
 GLOBAL    |      48 | MIND COMUNICACAO LTDA                                                                                                                          |          |              49 |   992050.00 |      0.12
 GLOBAL    |      49 | ATLÂNTICO TRANSPORTES LTDA.                                                                                                                    |          |              84 |   986202.77 |      0.12
 GLOBAL    |      50 | I9 SOLUCOES EM MARKETING E MIDIAS DIGITAIS LTDA                                                                                                |          |             125 |   973850.00 |      0.12
 GLOBAL    |      51 | ORN MIDIA COMUNICAÇÃO EIRELI                                                                                                                   |          |              83 |   970500.00 |      0.12
 GLOBAL    |      52 | DELPHOS SERVICOS DE MARKETING E COMUNICACAO LTDA                                                                                               |          |              95 |   964362.00 |      0.12
 GLOBAL    |      53 | AUTO POSTO CINCO ESTRELAS LTDA                                                                                                                 |          |            4686 |   958657.23 |      0.12
 GLOBAL    |      54 | ESTRELA LOGISTICA LTDA                                                                                                                         |          |             199 |   957322.49 |      0.12
 GLOBAL    |      55 | Cia Aérea - GOL                                                                                                                                |          |             791 |   954535.19 |      0.12
 GLOBAL    |      56 | Instituto Mais Cidades Assessoria e Consultoria ltda                                                                                           |          |              89 |   936800.00 |      0.11
 GLOBAL    |      57 | CLAUDIO GOMES DA SILVA ME                                                                                                                      |          |             122 |   934050.00 |      0.11
